Date,Currency,Exchange Rate,USD Equivalent,Percent Change
23/03/1981,U.S. dollar,0.5400,1.00000,0.540000
24/03/1981,Deutsche mark,0.4600,2.09100,0.219990
24/03/1981,French franc,0.7400,4.92650,0.150208
24/03/1981,Japanese yen,34.0000,208.82000,0.162820
24/03/1981,U.K. pound,0.0710,2.25650,0.160212
24/03/1981,U.S. dollar,0.5400,1.00000,0.540000
25/03/1981,Deutsche mark,0.4600,2.08850,0.220254
25/03/1981,French franc,0.7400,4.91900,0.150437
25/03/1981,Japanese yen,34.0000,208.85000,0.162796
25/03/1981,U.K. pound,0.0710,2.26400,0.160744
25/03/1981,U.S. dollar,0.5400,1.00000,0.540000
26/03/1981,Deutsche mark,0.4600,2.09650,0.219413
26/03/1981,French franc,0.7400,4.94300,0.149707
26/03/1981,Japanese yen,34.0000,210.75000,0.161329
26/03/1981,U.K. pound,0.0710,2.25630,0.160197
26/03/1981,U.S. dollar,0.5400,1.00000,0.540000
27/03/1981,Deutsche mark,0.4600,2.12700,0.216267
27/03/1981,French franc,0.7400,5.01250,0.147631
27/03/1981,Japanese yen,34.0000,212.25000,0.160188
27/03/1981,U.K. pound,0.0710,2.23450,0.158650
27/03/1981,U.S. dollar,0.5400,1.00000,0.540000
30/03/1981,Deutsche mark,0.4600,2.12300,0.216675
30/03/1981,French franc,0.7400,5.00270,0.147920
30/03/1981,Japanese yen,34.0000,211.72000,0.160589
30/03/1981,U.K. pound,0.0710,2.23900,0.158969
30/03/1981,U.S. dollar,0.5400,1.00000,0.540000
31/03/1981,Deutsche mark,0.4600,2.10200,0.218839
31/03/1981,French franc,0.7400,4.95950,0.149209
31/03/1981,Japanese yen,34.0000,211.00000,0.161137
31/03/1981,U.K. pound,0.0710,2.24420,0.159338
31/03/1981,U.S. dollar,0.5400,1.00000,0.540000
01/04/1981,Deutsche mark,0.4600,2.09750,0.219309
01/04/1981,French franc,0.7400,4.95070,0.149474
01/04/1981,Japanese yen,34.0000,211.65000,0.160643
01/04/1981,U.K. pound,0.0710,2.24160,0.159154
01/04/1981,U.S. dollar,0.5400,1.00000,0.540000
02/04/1981,Deutsche mark,0.4600,2.09590,0.219476
02/04/1981,French franc,0.7400,4.94800,0.149555
02/04/1981,Japanese yen,34.0000,212.60000,0.159925
02/04/1981,U.K. pound,0.0710,2.23670,0.158806
02/04/1981,U.S. dollar,0.5400,1.00000,0.540000
03/04/1981,Deutsche mark,0.4600,2.12750,0.216216
03/04/1981,French franc,0.7400,5.02120,0.147375
03/04/1981,Japanese yen,34.0000,213.35000,0.159363
03/04/1981,U.K. pound,0.0710,2.21050,0.156946
03/04/1981,U.S. dollar,0.5400,1.00000,0.540000
06/04/1981,Deutsche mark,0.4600,2.14710,0.214242
06/04/1981,French franc,0.7400,5.05500,0.146390
06/04/1981,Japanese yen,34.0000,214.47000,0.158530
06/04/1981,U.K. pound,0.0710,2.17050,0.154106
06/04/1981,U.S. dollar,0.5400,1.00000,0.540000
07/04/1981,Deutsche mark,0.4600,2.14450,0.214502
07/04/1981,French franc,0.7400,5.05900,0.146274
07/04/1981,Japanese yen,34.0000,213.47000,0.159273
07/04/1981,U.K. pound,0.0710,2.17850,0.154674
07/04/1981,U.S. dollar,0.5400,1.00000,0.540000
08/04/1981,Deutsche mark,0.4600,2.12300,0.216675
