Year,Month,Currency,Currency Amount,Exchange Rate,USD Equivalent
1989,February,U.S. dollar,0.452,1.0,0.452
1989,January,Deutsche mark,0.527,1.8647,0.282619
1989,January,French franc,1.02,6.339,0.160909
1989,January,Japanese yen,33.4,129.4,0.258114
1989,January,U.K. pound,0.0893,1.7613,0.157284
1989,January,U.S. dollar,0.452,1.0,0.452
1989,July,Deutsche mark,0.527,1.866,0.282422
1989,July,French franc,1.02,6.3195,0.161405
1989,July,Japanese yen,33.4,137.42,0.243051
1989,July,U.K. pound,0.0893,1.6642,0.148613
1989,July,U.S. dollar,0.452,1.0,0.452
1989,June,Deutsche mark,0.527,1.9525,0.26991
1989,June,French franc,1.02,6.6247,0.153969
1989,June,Japanese yen,33.4,143.92,0.232073
1989,June,U.K. pound,0.0893,1.5502,0.138433
1989,June,U.S. dollar,0.452,1.0,0.452
1989,March,Deutsche mark,0.527,1.8925,0.278468
1989,March,French franc,1.02,6.393,0.15955
1989,March,Japanese yen,33.4,132.6,0.251885
1989,March,U.K. pound,0.0893,1.6888,0.15081
1989,March,U.S. dollar,0.452,1.0,0.452
1989,May,Deutsche mark,0.527,1.9857,0.265398
1989,May,French franc,1.02,6.736,0.151425
1989,May,Japanese yen,33.4,142.55,0.234304
1989,May,U.K. pound,0.0893,1.5733,0.140496
1989,May,U.S. dollar,0.452,1.0,0.452
1989,November,Deutsche mark,0.527,1.7897,0.294463
1989,November,French franc,1.02,6.101,0.167186
1989,November,Japanese yen,33.4,142.7,0.234057
1989,November,U.K. pound,0.0893,1.5678,0.140005
1989,November,U.S. dollar,0.452,1.0,0.452
1989,October,Deutsche mark,0.527,1.8375,0.286803
1989,October,French franc,1.02,6.237,0.16354
1989,October,Japanese yen,33.4,142.35,0.234633
1989,October,U.K. pound,0.0893,1.5772,0.140844
1989,October,U.S. dollar,0.452,1.0,0.452
1989,September,Deutsche mark,0.527,1.8685,0.282044
1989,September,French franc,1.02,6.3395,0.160896
1989,September,Japanese yen,33.4,139.32,0.239736
1989,September,U.K. pound,0.0893,1.6252,0.14513
1989,September,U.S. dollar,0.452,1.0,0.452
1990,April,Deutsche mark,0.527,1.6802,0.313653
1990,April,French franc,1.02,5.641,0.180819
1990,April,Japanese yen,33.4,159.12,0.209904
1990,April,U.K. pound,0.0893,1.636,0.146095
1990,April,U.S. dollar,0.452,1.0,0.452
1990,August,Deutsche mark,0.527,1.5622,0.337345
1990,August,French franc,1.02,5.243,0.194545
1990,August,Japanese yen,33.4,143.75,0.232348
1990,August,U.K. pound,0.0893,1.9005,0.169715
1990,August,U.S. dollar,0.452,1.0,0.452
1990,December,Deutsche mark,0.527,1.4972,0.35199
1990,December,French franc,1.02,5.0975,0.200098
