Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-03-20,French franc,0.74,4.8762,0.151758,1981,March
1981-03-20,Japanese yen,34.0,208.97,0.162703,1981,March
1981-03-20,U.K. pound,0.071,2.266,0.160886,1981,March
1981-03-20,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-23,Deutsche mark,0.46,2.0875,0.220359,1981,March
1981-03-23,French franc,0.74,4.9182,0.150462,1981,March
1981-03-23,Japanese yen,34.0,208.7,0.162913,1981,March
1981-03-23,U.K. pound,0.071,2.2455,0.159431,1981,March
1981-03-23,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-24,Deutsche mark,0.46,2.091,0.21999,1981,March
1981-03-24,French franc,0.74,4.9265,0.150208,1981,March
1981-03-24,Japanese yen,34.0,208.82,0.16282,1981,March
1981-03-24,U.K. pound,0.071,2.2565,0.160212,1981,March
1981-03-24,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-25,Deutsche mark,0.46,2.0885,0.220254,1981,March
1981-03-25,French franc,0.74,4.919,0.150437,1981,March
1981-03-25,Japanese yen,34.0,208.85,0.162796,1981,March
1981-03-25,U.K. pound,0.071,2.264,0.160744,1981,March
1981-03-25,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-26,Deutsche mark,0.46,2.0965,0.219413,1981,March
1981-03-26,French franc,0.74,4.943,0.149707,1981,March
1981-03-26,Japanese yen,34.0,210.75,0.161329,1981,March
1981-03-26,U.K. pound,0.071,2.2563,0.160197,1981,March
1981-03-26,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-27,Deutsche mark,0.46,2.127,0.216267,1981,March
1981-03-27,French franc,0.74,5.0125,0.147631,1981,March
1981-03-27,Japanese yen,34.0,212.25,0.160188,1981,March
1981-03-27,U.K. pound,0.071,2.2345,0.15865,1981,March
1981-03-27,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-30,Deutsche mark,0.46,2.123,0.216675,1981,March
1981-03-30,French franc,0.74,5.0027,0.14792,1981,March
1981-03-30,Japanese yen,34.0,211.72,0.160589,1981,March
1981-03-30,U.K. pound,0.071,2.239,0.158969,1981,March
1981-03-30,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-31,Deutsche mark,0.46,2.102,0.218839,1981,March
1981-03-31,French franc,0.74,4.9595,0.149209,1981,March
1981-03-31,Japanese yen,34.0,211.0,0.161137,1981,March
1981-03-31,U.K. pound,0.071,2.2442,0.159338,1981,March
1981-03-31,U.S. dollar,0.54,1.0,0.54,1981,March
1981-04-01,Deutsche mark,0.46,2.0975,0.219309,1981,April
1981-04-01,French franc,0.74,4.9507,0.149474,1981,April
1981-04-01,Japanese yen,34.0,211.65,0.160643,1981,April
1981-04-01,U.K. pound,0.071,2.2416,0.159154,1981,April
1981-04-01,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-02,Deutsche mark,0.46,2.0959,0.219476,1981,April
1981-04-02,French franc,0.74,4.948,0.149555,1981,April
1981-04-02,Japanese yen,34.0,212.6,0.159925,1981,April
1981-04-02,U.K. pound,0.071,2.2367,0.158806,1981,April
1981-04-02,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-03,Deutsche mark,0.46,2.1275,0.216216,1981,April
1981-04-03,French franc,0.74,5.0212,0.147375,1981,April
1981-04-03,Japanese yen,34.0,213.35,0.159363,1981,April
1981-04-03,U.K. pound,0.071,2.2105,0.156946,1981,April
1981-04-03,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-06,Deutsche mark,0.46,2.1471,0.214242,1981,April
1981-04-06,French franc,0.74,5.055,0.14639,1981,April
1981-04-06,Japanese yen,34.0,214.47,0.15853,1981,April
1981-04-06,U.K. pound,0.071,2.1705,0.154106,1981,April
1981-04-06,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-07,Deutsche mark,0.46,2.1445,0.214502,1981,April
1981-04-07,French franc,0.74,5.059,0.146274,1981,April
1981-04-07,Japanese yen,34.0,213.47,0.159273,1981,April
1981-04-07,U.K. pound,0.071,2.1785,0.154674,1981,April
1981-04-07,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-08,Deutsche mark,0.46,2.123,0.216675,1981,April
1981-04-08,French franc,0.74,5.0087,0.147743,1981,April
1981-04-08,Japanese yen,34.0,213.1,0.15955,1981,April
1981-04-08,U.K. pound,0.071,2.2047,0.156534,1981,April
1981-04-08,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-09,Deutsche mark,0.46,2.1385,0.215104,1981,April
1981-04-09,French franc,0.74,5.0487,0.146572,1981,April
