Année,Population,Sexe,Tranche d'âge,Population au premier janvier
2017.0,2304975.0,,,64639133.0
2018.0,2334231.0,,,64844037.0
2019.0,2383403.0,,,65096768.0
2020.0,2425332.0,,,65269154.0
2021.0,2451814.0,,,65450219.0
2022.0,2556944.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,4250918.0,,,40125230.0
1947.0,4310360.0,,,40448254.0
1948.0,4415542.0,,,40910569.0
1949.0,4522574.0,,,41313195.0
1950.0,4624425.0,,,41647258.0
1951.0,4734390.0,,,42010088.0
1952.0,4834696.0,,,42300981.0
1953.0,4937133.0,,,42618354.0
1954.0,5033762.0,,,42885138.0
1955.0,5138235.0,,,43227872.0
1956.0,5282914.0,,,43627467.0
1957.0,5451092.0,,,44058683.0
1958.0,5607844.0,,,44563043.0
1959.0,5728994.0,,,45014662.0
1960.0,5853223.0,,,45464797.0
1961.0,5969694.0,,,45903656.0
1962.0,6005158.0,,,46422000.0
1963.0,6080996.0,,,47573406.0
1964.0,6102625.0,,,48059029.0
1965.0,6121845.0,,,48561800.0
1966.0,6123958.0,,,48953792.0
1967.0,6142126.0,,,49373537.0
1968.0,6141359.0,,,49723072.0
1969.0,6154315.0,,,50107735.0
1970.0,6164026.0,,,50528219.0
1971.0,6181981.0,,,51016234.0
1972.0,6211510.0,,,51485953.0
1973.0,6226082.0,,,51915873.0
1974.0,6228185.0,,,52320725.0
1975.0,6186258.0,,,52600000.0
1976.0,6141128.0,,,52798338.0
1977.0,6075666.0,,,53019005.0
1978.0,6025906.0,,,53271566.0
1979.0,5955426.0,,,53481073.0
1980.0,5894428.0,,,53731387.0
1981.0,5862778.0,,,54028630.0
1982.0,5832972.0,,,54335000.0
1983.0,5820130.0,,,54649984.0
1984.0,5784287.0,,,54894854.0
1985.0,5747770.0,,,55157303.0
1986.0,5707726.0,,,55411238.0
1987.0,5658771.0,,,55681780.0
1988.0,5609511.0,,,55966142.0
1989.0,5573518.0,,,56269810.0
1990.0,5562809.0,,,56577000.0
1991.0,5564699.0,,,56840661.0
1992.0,5580521.0,,,57110533.0
1993.0,5576521.0,,,57369161.0
1994.0,5559279.0,,,57565008.0
1995.0,5532418.0,,,57752535.0
1996.0,5492862.0,,,57935959.0
1997.0,5453475.0,,,58116018.0
1998.0,5417888.0,,,58298962.0
1999.0,5409778.0,,,58496613.0
2000.0,5423451.0,,,58858198.0
2001.0,5445453.0,,,59266572.0
2002.0,5457609.0,,,59685899.0
2003.0,5466500.0,,,60101841.0
2004.0,5472036.0,,,60505421.0
2005.0,5480343.0,,,60963264.0
2006.0,5494939.0,,,61399733.0
2007.0,5523638.0,,,61795238.0
2008.0,5547619.0,,,62134866.0
2009.0,5594391.0,,,62465709.0
2010.0,5636910.0,,,62765235.0
2011.0,5667839.0,,,63070344.0
2012.0,5703245.0,,,63375971.0
2013.0,5733279.0,,,63697865.0
2014.0,5751435.0,,,64027958.0
2015.0,5764996.0,,,64300821.0
2016.0,5735804.0,,,64468792.0
2017.0,5711043.0,,,64639133.0
2018.0,5690900.0,,,64844037.0
2019.0,5655400.0,,,65096768.0
2020.0,5615925.0,,,65269154.0
2021.0,5579508.0,,,65450219.0
2022.0,5534455.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,5866225.0,,,40125230.0
1947.0,5917169.0,,,40448254.0
1948.0,6008801.0,,,40910569.0
1949.0,6095827.0,,,41313195.0
1950.0,6186173.0,,,41647258.0
1951.0,6260103.0,,,42010088.0
1952.0,6329099.0,,,42300981.0
1953.0,6399241.0,,,42618354.0
1954.0,6476828.0,,,42885138.0
1955.0,6559882.0,,,43227872.0
1956.0,6667109.0,,,43627467.0
1957.0,6786999.0,,,44058683.0
